design_key	genome	resource	design_path	design_md5	sites_md5	n_sites	n_off_design	bedtools_version	generated
exome_probesets_hg38/agilent_sureselect_clinical_research_exome_v2_covered_by_probes_bed	GRCh38	bg_off_design_sites.exome_probesets_hg38_agilent_sureselect_clinical_research_exome_v2_covered_by_probes_bed.GRCh38.bed	gs://cpg-common-main/references/exome-probesets/hg38/S30409818_Covered.bed	76e96d4a2e96062897474380a325727c	e27d8c80bc4e6325633aab75a6caca6f	1625	165	bedtools v2.31.1	2026-09-07
exome_probesets_hg38/twist_vcgs_custom_exome_covered_targets_bed	GRCh38	bg_off_design_sites.exome_probesets_hg38_twist_vcgs_custom_exome_covered_targets_bed.GRCh38.bed	gs://cpg-common-main/references/exome-probesets/hg38/Twist_VCGS_Exome_Covered_Targets_hg38.bed	58d2021bca3a440a3646f764794b8256	e27d8c80bc4e6325633aab75a6caca6f	1625	167	bedtools v2.31.1	2026-09-07
